UKPRN,Provider,Subject Code,Subject,Level,Question Number,Answered 1,Answered 2,Answered 3,Answered 4,Answered 5,N/A,Confidence interval-min,Agree,Confidence interval-max,Response,Sample Size
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q17,0.0144,0.0288,0.0288,0.3309,0.5971,0,0.8652,0.9281,0.9629,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q18,0.0144,0.0000,0.0719,0.3597,0.5540,0,0.8475,0.9137,0.9527,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q19,0.0000,0.0000,0.0576,0.2518,0.6906,0,0.8834,0.9424,0.9725,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q20,0.0072,0.0072,0.0217,0.3043,0.6594,1,0.9112,0.9638,0.9857,138,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q21,0.0000,0.0144,0.0791,0.1942,0.7122,0,0.8388,0.9065,0.9475,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q22,0.0000,0.0144,0.0144,0.1799,0.7914,0,0.9218,0.9712,0.9898,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q23,0.0000,0.0072,0.0360,0.1511,0.8058,0,0.9021,0.9568,0.9816,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q24,0.0144,0.0144,0.0504,0.2518,0.6691,0,0.8563,0.9209,0.9578,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q25,0.0216,0.0647,0.0504,0.3381,0.5252,0,0.7881,0.8633,0.9147,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q26,0.0154,0.0385,0.2000,0.3769,0.3692,9,0.6557,0.7462,0.8194,130,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q27,0.0072,0.0072,0.0216,0.1871,0.7770,0,0.9118,0.9640,0.9858,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale01,0.0036,0.0108,0.0270,0.3291,0.6295,0,0.9046,0.9586,0.9827,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale02,0.0048,0.0072,0.0372,0.2386,0.7122,1,0.8942,0.9508,0.9779,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale03,0.0162,0.0414,0.0773,0.4460,0.4191,0,0.7902,0.8651,0.9161,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale04,0.0096,0.0108,0.0492,0.3034,0.6271,5,0.8682,0.9305,0.9645,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale05,0.0144,0.0240,0.0504,0.3681,0.5432,1,0.8446,0.9113,0.9510,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale06,0.0072,0.0024,0.0504,0.3070,0.6331,1,0.8803,0.9400,0.9710,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale07,0.0000,0.0144,0.0468,0.1871,0.7518,0,0.8788,0.9388,0.9702,139,150
99999999,Brighton and Sussex Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale08,0.0120,0.0288,0.0456,0.2470,0.6667,0,0.8475,0.9137,0.9527,139,150
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q01,0.0056,0.0056,0.0960,0.7684,0.1243,0,0.8316,0.8927,0.9333,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q02,0.0056,0.0113,0.0904,0.6328,0.2599,0,0.8316,0.8927,0.9333,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q03,0.0056,0.0056,0.0621,0.2938,0.6328,0,0.8721,0.9266,0.9589,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q04,0.0226,0.0791,0.1469,0.4124,0.3390,0,0.6750,0.7514,0.8148,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q05,0.0226,0.0339,0.1186,0.4068,0.4181,0,0.7547,0.8249,0.8782,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q06,0.0056,0.0169,0.0847,0.4633,0.4294,0,0.8316,0.8927,0.9333,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q07,0.0000,0.0056,0.0169,0.2938,0.6836,0,0.9381,0.9774,0.9920,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q08,0.0568,0.0739,0.1989,0.4489,0.2216,1,0.5900,0.6705,0.7420,176,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q09,0.0395,0.0904,0.1638,0.4972,0.2090,0,0.6274,0.7062,0.7744,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q10,0.0282,0.1469,0.2090,0.4576,0.1582,0,0.5345,0.6158,0.6912,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q11,0.0452,0.1299,0.2712,0.4407,0.1130,0,0.4722,0.5537,0.6323,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q12,0.0000,0.0169,0.0904,0.5424,0.3503,0,0.8316,0.8927,0.9333,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q13,0.0113,0.0960,0.1638,0.5141,0.2147,0,0.6511,0.7288,0.7947,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q14,0.0122,0.0610,0.2134,0.4817,0.2317,13,0.6317,0.7134,0.7832,164,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q15,0.1130,0.1695,0.2712,0.3559,0.0904,0,0.3677,0.4463,0.5278,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q16,0.0056,0.0791,0.1130,0.5932,0.2090,0,0.7298,0.8023,0.8590,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q17,0.0455,0.1591,0.2443,0.3693,0.1818,1,0.4695,0.5511,0.6301,176,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q18,0.0000,0.0057,0.0739,0.4432,0.4773,1,0.8645,0.9205,0.9545,176,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q19,0.0000,0.0056,0.0395,0.3842,0.5706,0,0.9076,0.9548,0.9785,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q20,0.0000,0.0114,0.0455,0.4886,0.4545,1,0.8925,0.9432,0.9707,176,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q21,0.0226,0.0565,0.1186,0.4746,0.3277,0,0.7298,0.8023,0.8590,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q22,0.0057,0.0114,0.0114,0.3977,0.5739,1,0.9298,0.9716,0.9888,176,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q23,0.0113,0.0621,0.0621,0.3955,0.4689,0,0.7990,0.8644,0.9109,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q24,0.0339,0.1412,0.1695,0.3729,0.2825,0,0.5747,0.6554,0.7280,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q25,0.0508,0.1808,0.2542,0.3333,0.1808,0,0.4333,0.5141,0.5942,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q26,0.0117,0.0468,0.3158,0.3860,0.2398,6,0.5431,0.6257,0.7017,171,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Q27,0.0169,0.0508,0.0960,0.4350,0.4011,0,0.7672,0.8362,0.8877,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Scale01,0.0099,0.0254,0.0989,0.5268,0.3390,0,0.8007,0.8658,0.9120,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Scale02,0.0094,0.0188,0.0734,0.3879,0.5104,0,0.8382,0.8983,0.9377,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Scale03,0.0424,0.1106,0.2105,0.4614,0.1751,1,0.5555,0.6365,0.7105,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Scale04,0.0075,0.0612,0.1516,0.5179,0.2618,13,0.7053,0.7797,0.8395,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Scale05,0.0546,0.1356,0.2090,0.4397,0.1610,1,0.5193,0.6008,0.6770,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Scale06,0.0000,0.0075,0.0527,0.4407,0.4991,2,0.8884,0.9397,0.9683,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Scale07,0.0141,0.0339,0.0650,0.4379,0.4492,1,0.8250,0.8870,0.9289,177,243
10007814,Cardiff University,CAH01-01-02,Medicine (non-specific),First degree,Scale08,0.0320,0.1281,0.1620,0.3672,0.3107,0,0.5980,0.6780,0.7487,177,243
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q01,0.0204,0.0408,0.1020,0.6224,0.2143,1,0.7407,0.8367,0.9019,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q02,0.0309,0.0309,0.0619,0.5670,0.3093,2,0.7859,0.8763,0.9318,97,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q03,0.0303,0.0101,0.0505,0.2626,0.6465,0,0.8265,0.9091,0.9545,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q04,0.0404,0.0909,0.1111,0.2929,0.4646,0,0.6538,0.7576,0.8379,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q05,0.0612,0.0408,0.0918,0.4796,0.3265,1,0.7063,0.8061,0.8779,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q06,0.0204,0.0408,0.1020,0.4184,0.4184,1,0.7407,0.8367,0.9019,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q07,0.0101,0.0202,0.0303,0.2626,0.6768,0,0.8648,0.9394,0.9741,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q08,0.1313,0.1313,0.1616,0.3030,0.2727,0,0.4669,0.5758,0.6777,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q09,0.1414,0.1212,0.1717,0.3939,0.1717,0,0.4570,0.5657,0.6683,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q10,0.1717,0.2020,0.2525,0.2323,0.1414,0,0.2762,0.3737,0.4827,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q11,0.0707,0.1313,0.1515,0.4343,0.2121,0,0.5377,0.6465,0.7419,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q12,0.0612,0.0408,0.1429,0.3776,0.3776,1,0.6506,0.7551,0.8362,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q13,0.0808,0.0909,0.1212,0.4747,0.2323,0,0.6002,0.7071,0.7951,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q14,0.0638,0.1064,0.2021,0.4043,0.2234,5,0.5158,0.6277,0.7273,94,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q15,0.2222,0.2222,0.2525,0.2626,0.0404,0,0.2136,0.3030,0.4103,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q16,0.0729,0.1563,0.1979,0.4583,0.1146,3,0.4625,0.5729,0.6765,96,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q17,0.1212,0.1818,0.1515,0.4343,0.1111,0,0.4373,0.5455,0.6495,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q18,0.0404,0.0707,0.1313,0.4747,0.2828,0,0.6538,0.7576,0.8379,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q19,0.0000,0.0204,0.0714,0.3469,0.5612,1,0.8248,0.9082,0.9541,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q20,0.0000,0.0206,0.0515,0.4330,0.4948,2,0.8489,0.9278,0.9671,97,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q21,0.0619,0.0515,0.1134,0.3608,0.4124,2,0.6696,0.7732,0.8515,97,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q22,0.0204,0.0204,0.0612,0.3367,0.5612,1,0.8124,0.8980,0.9470,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q23,0.0510,0.0510,0.0816,0.4082,0.4082,1,0.7177,0.8163,0.8860,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q24,0.1224,0.2041,0.1633,0.3571,0.1531,1,0.4027,0.5102,0.6168,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q25,0.1429,0.2755,0.2449,0.2245,0.1122,1,0.2428,0.3367,0.4457,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q26,0.0875,0.0875,0.4125,0.2875,0.1250,19,0.3012,0.4125,0.5335,80,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Q27,0.0714,0.0714,0.1020,0.4694,0.2857,1,0.6506,0.7551,0.8362,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale01,0.0328,0.0429,0.0825,0.4343,0.4074,3,0.7469,0.8418,0.9055,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale02,0.0303,0.0337,0.0741,0.3906,0.4714,2,0.7702,0.8620,0.9208,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale03,0.1288,0.1465,0.1843,0.3409,0.1995,0,0.4324,0.5404,0.6448,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale04,0.0690,0.0842,0.1532,0.4125,0.2811,6,0.5862,0.6936,0.7834,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale05,0.1448,0.1869,0.1987,0.3822,0.0875,3,0.3647,0.4697,0.5774,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale06,0.0202,0.0370,0.0859,0.4158,0.4411,3,0.7643,0.8569,0.9171,99,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale07,0.0408,0.0357,0.0867,0.3469,0.4898,3,0.7407,0.8367,0.9019,98,148
99999998,Hull and York Medical School,CAH01-01-02,Medicine (non-specific),First degree,Scale08,0.1054,0.1769,0.1633,0.3299,0.2245,3,0.4455,0.5544,0.6584,98,148
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q01,0.0103,0.0205,0.0564,0.6256,0.2872,0,0.8587,0.9128,0.9475,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q02,0.0103,0.0462,0.0718,0.5641,0.3077,0,0.8109,0.8718,0.9151,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q03,0.0051,0.0256,0.0564,0.3077,0.6051,0,0.8587,0.9128,0.9475,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q04,0.0154,0.0974,0.1744,0.3641,0.3487,0,0.6381,0.7128,0.7775,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q05,0.0205,0.1128,0.0974,0.3641,0.4051,0,0.6979,0.7692,0.8279,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q06,0.0154,0.0615,0.1128,0.4462,0.3641,0,0.7423,0.8103,0.8636,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q07,0.0103,0.0308,0.0564,0.3897,0.5128,0,0.8466,0.9026,0.9396,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q08,0.0564,0.0923,0.1538,0.3692,0.3282,0,0.6221,0.6974,0.7635,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q09,0.0667,0.1641,0.1333,0.4205,0.2154,0,0.5587,0.6359,0.7066,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q10,0.0619,0.1134,0.2629,0.3660,0.1959,1,0.4840,0.5619,0.6368,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q11,0.0619,0.1546,0.1907,0.4588,0.1340,1,0.5149,0.5928,0.6662,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q12,0.0103,0.0361,0.0825,0.3866,0.4845,1,0.8100,0.8711,0.9147,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q13,0.0155,0.1031,0.1134,0.4330,0.3351,1,0.6964,0.7680,0.8270,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q14,0.0157,0.0942,0.1257,0.4293,0.3351,4,0.6919,0.7644,0.8242,191,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q15,0.0154,0.0872,0.1179,0.4769,0.3026,0,0.7089,0.7795,0.8369,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q16,0.0205,0.0923,0.1026,0.4462,0.3385,0,0.7144,0.7846,0.8414,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q17,0.0361,0.0619,0.1495,0.4588,0.2938,1,0.6799,0.7526,0.8133,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q18,0.0052,0.0361,0.0309,0.3454,0.5825,1,0.8766,0.9278,0.9588,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q19,0.0051,0.0051,0.0205,0.2821,0.6872,0,0.9294,0.9692,0.9869,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q20,0.0052,0.0103,0.0619,0.3402,0.5825,1,0.8703,0.9227,0.9550,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q21,0.0462,0.1026,0.1333,0.3846,0.3333,0,0.6435,0.7179,0.7821,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q22,0.0206,0.0258,0.0619,0.3969,0.4948,1,0.8337,0.8918,0.9312,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q23,0.0000,0.0462,0.0718,0.3385,0.5436,0,0.8227,0.8821,0.9234,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q24,0.0464,0.1082,0.1392,0.3402,0.3660,1,0.6310,0.7062,0.7716,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q25,0.0570,0.1658,0.1917,0.3368,0.2487,2,0.5074,0.5855,0.6595,193,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q26,0.0313,0.0833,0.2083,0.3750,0.3021,3,0.6004,0.6771,0.7453,192,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Q27,0.0156,0.0313,0.0260,0.4844,0.4427,3,0.8754,0.9271,0.9584,192,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Scale01,0.0103,0.0474,0.0897,0.4654,0.3872,0,0.7892,0.8526,0.8993,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Scale02,0.0154,0.0684,0.0889,0.4000,0.4274,0,0.7611,0.8274,0.8782,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Scale03,0.0615,0.1321,0.1846,0.4038,0.2179,2,0.5444,0.6218,0.6934,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Scale04,0.0137,0.0790,0.1065,0.4167,0.3840,6,0.7317,0.8007,0.8555,194,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Scale05,0.0239,0.0803,0.1231,0.4598,0.3128,1,0.7015,0.7726,0.8309,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Scale06,0.0051,0.0171,0.0376,0.3248,0.6154,2,0.8919,0.9402,0.9677,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Scale07,0.0333,0.0667,0.0974,0.3897,0.4128,1,0.7339,0.8026,0.8570,195,286
10003270,Imperial College,CAH01-01-02,Medicine (non-specific),First degree,Scale08,0.0342,0.1068,0.1333,0.3410,0.3846,3,0.6516,0.7256,0.7890,195,286
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q01,0.0077,0.0651,0.0690,0.6322,0.2261,0,0.8050,0.8582,0.8988,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q02,0.0115,0.0345,0.1303,0.5556,0.2682,0,0.7670,0.8238,0.8691,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q03,0.0115,0.0192,0.0498,0.3027,0.6169,0,0.8751,0.9195,0.9491,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q04,0.0345,0.0958,0.1264,0.4138,0.3295,0,0.6807,0.7433,0.7973,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q05,0.0307,0.0728,0.1648,0.4100,0.3218,0,0.6686,0.7318,0.7868,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q06,0.0268,0.0383,0.1341,0.4483,0.3525,0,0.7420,0.8008,0.8489,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q07,0.0038,0.0230,0.0460,0.3180,0.6092,0,0.8842,0.9272,0.9550,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q08,0.0690,0.1686,0.2107,0.3678,0.1839,0,0.4846,0.5517,0.6170,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q09,0.0498,0.0881,0.1839,0.5134,0.1648,0,0.6127,0.6782,0.7373,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q10,0.0498,0.1418,0.1418,0.4866,0.1801,0,0.6009,0.6667,0.7265,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q11,0.0651,0.1456,0.2031,0.4521,0.1341,0,0.5191,0.5862,0.6503,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q12,0.0271,0.0465,0.1395,0.4612,0.3256,3,0.7266,0.7868,0.8368,258,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q13,0.0426,0.1279,0.2132,0.4147,0.2016,3,0.5491,0.6163,0.6793,258,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q14,0.0363,0.1008,0.2419,0.4234,0.1976,13,0.5525,0.6210,0.6850,248,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q15,0.1724,0.2261,0.2261,0.2912,0.0843,0,0.3132,0.3755,0.4422,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q16,0.0346,0.1038,0.2154,0.4923,0.1538,1,0.5797,0.6462,0.7074,260,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q17,0.0920,0.2337,0.2261,0.3295,0.1188,0,0.3830,0.4483,0.5154,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q18,0.0077,0.0345,0.0805,0.4100,0.4674,0,0.8265,0.8774,0.9149,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q19,0.0000,0.0077,0.0421,0.3870,0.5632,0,0.9122,0.9502,0.9723,261,384
10003645,King's College London,CAH01-01-02,Medicine (non-specific),First degree,Q20,0.0000,0.0077,0.0728,0.4444,0.4751,0,0.8751,0.9195,0.9491,261,384
